questionText;options;correctAnswer;explanation;categoryId
What is the chemical symbol for water?;[H2O, O2, CO2, NaCl];H2O;Water is composed of two hydrogen atoms and one oxygen atom;672d0698004c7514fcd799c4
What planet is known as the Red Planet?;[Earth, Mars, Jupiter, Venus];Mars;Mars appears red due to iron oxide, commonly known as rust;672d0698004c7514fcd799c4
What gas do plants absorb from the atmosphere?;[Oxygen, Carbon Dioxide, Nitrogen, Helium];Carbon Dioxide;Plants use carbon dioxide during photosynthesis to produce oxygen;672d0698004c7514fcd799c4
What is the powerhouse of the cell?;[Nucleus, Mitochondria, Ribosomes, Golgi apparatus];Mitochondria;Mitochondria generate ATP, the energy currency of the cell;672d0698004c7514fcd799c4
How many bones are in the adult human body?;[206, 205, 210, 201];206;Adults typically have 206 bones, while infants have more that fuse over time;672d0698004c7514fcd799c4
What is the largest mammal in the world?;[Elephant, Blue Whale, Giraffe, Great White Shark];Blue Whale;Blue whales can reach lengths of up to 100 feet and weigh as much as 200 tons;672d0698004c7514fcd799c4
What type of celestial body is the Sun?;[Planet, Star, Moon, Asteroid];Star;The Sun is a star at the center of our solar system;672d0698004c7514fcd799c4
What is the hardest natural substance on Earth?;[Gold, Iron, Diamond, Quartz];Diamond;Diamonds are formed under extreme pressure and are known for their hardness;672d0698004c7514fcd799c4
What part of the plant conducts photosynthesis?;[Roots, Stem, Leaves, Flowers];Leaves;Leaves contain chlorophyll, which captures sunlight for photosynthesis;672d0698004c7514fcd799c4
What is the process by which plants make their food?;[Digestion, Photosynthesis, Respiration, Transpiration];Photosynthesis;Photosynthesis converts sunlight, water, and carbon dioxide into glucose and oxygen;672d0698004c7514fcd799c4
Who directed "Titanic"?;[James Cameron, Steven Spielberg, George Lucas, Martin Scorsese];James Cameron;James Cameron directed the blockbuster film released in 1997;672d0698004c7514fcd799c7
What is the highest-grossing film of all time (as of 2023)?;[Avatar, Avengers: Endgame, Titanic, Star Wars: The Force Awakens];Avatar;"Avatar" reclaimed its title with a re-release, surpassing "Avengers: Endgame;672d0698004c7514fcd799c7
Which character is known as the "Boy Who Lived"?;[Hermione Granger, Harry Potter, Ron Weasley, Draco Malfoy];Harry Potter;Harry Potter is the main character in J.K. Rowling's series;672d0698004c7514fcd799c7
What TV show features the character Sheldon Cooper?;[Friends, The Big Bang Theory, How I Met Your Mother, Brooklyn Nine-Nine];The Big Bang Theory;Sheldon Cooper is one of the main characters in this sitcom;672d0698004c7514fcd799c7
Who played Jack Dawson in "Titanic"?;[Brad Pitt, Leonardo DiCaprio, Johnny Depp, Tom Cruise];Leonardo DiCaprio;DiCaprio starred as the romantic lead in the 1997 film;672d0698004c7514fcd799c7
What is the name of the fictional African country in "Black Panther"?;[Wakanda, Zamunda, Narnia, Elbonia];Wakanda;Wakanda is known for its advanced technology and vibranium resources.;672d0698004c7514fcd799c7
Who is the creator of the television series "The Simpsons"?;[Matt Groening, Seth MacFarlane, Trey Parker, Mike Judge];Matt Groening;"Groening created "The Simpsons," which first aired in 1989.;672d0698004c7514fcd799c7
What animated film features a talking fish searching for his son?;[Finding Nemo, Toy Story, The Lion King, Zootopia];Finding Nemo;The film follows Marlin's journey to find his son, Nemo.;672d0698004c7514fcd799c7
What is the name of the main character in "The Matrix"?;[Neo, Trinity, Morpheus, Agent Smith];Neo;Neo, played by Keanu Reeves, is the protagonist in the sci-fi film.;672d0698004c7514fcd799c7
Who won the Academy Award for Best Actress in 2021?;[Frances McDormand, Viola Davis, Carey Mulligan, Andra Day];Frances McDormand;"McDormand won for her role in "Nomadland.;672d0698004c7514fcd799c7
Quel est le plus grand océan du monde?;[Atlantique, Indien, Arctique, Pacifique];Pacifique;L'océan Pacifique couvre plus de 63 millions de miles carrés.;672d0698004c7514fcd799ac
"Qui a écrit "Les Misérables"?;[Victor Hugo, Émile Zola, Gustave Flaubert, Marcel Proust];Victor Hugo;"Les Misérables" est un chef-d'œuvre de la littérature française.;672d0698004c7514fcd799ac
Quel est le pays d'origine de la pizza?;[France, Italie, Grèce, Espagne];Italie;La pizza est originaire de Naples, en Italie.;672d0698004c7514fcd799ac
Qui a inventé le téléphone?;[Alexander Graham Bell, Thomas Edison, Nikola Tesla, Gustav Eiffel];Alexander Graham Bell;Bell a breveté le téléphone en 1876.;672d0698004c7514fcd799ac
Quel est le symbole chimique du fer?;[Fe, F, Ir, Fer];Fe;"Le fer a pour symbole chimique "Fe" provenant du latin "ferrum".;672d0698004c7514fcd799ac
Quel est le plus haut sommet du monde?;[K2, Mont Everest, Kangchenjunga, Mont Blanc];Mont Everest;Le Mont Everest culmine à 8 848 mètres d'altitude.;672d0698004c7514fcd799ac
"Qui a peint "La Nuit étoilée"?;[Claude Monet, Vincent van Gogh, Pablo Picasso, Henri Matisse];Vincent van Gogh;"La Nuit étoilée" est l'une des œuvres les plus célèbres de Van Gogh.;672d0698004c7514fcd799ac
Quel est le principal ingrédient du pain?;[Eau, Sel, Farine, Sucre];Farine;La farine est l'ingrédient de base pour faire du pain.;672d0698004c7514fcd799ac
Quelle est la capitale de l'Italie?;[Rome, Milan, Florence, Naples];Rome;Rome est connue pour ses monuments historiques et son 672d0698004c7514fcd799b2 riche.;672d0698004c7514fcd799ac
Quel est le film le plus primé aux Oscars?;[Titanic, Le Parrain, Autant en emporte le vent, Avengers: Endgame];Titanic;"Titanic" a remporté 11 Oscars en 1998.;672d0698004c7514fcd799ac
Quelle est la plus grande île du monde?;[Groenland, Nouvelle-Guinée, Borneo, Madagascar];Groenland;La Groenland est la plus grande île, recouverte principalement de glace.;672d0698004c7514fcd799af
Quel est le pays le plus peuplé?;[Inde, États-Unis, Chine, Brésil];Chine;La Chine a une population de plus de 1,4 milliard d'habitants.;672d0698004c7514fcd799af
Quelle est la capitale du Japon?;[Séoul, Tokyo, Pékin, Bangkok];Tokyo;Tokyo est la capitale du Japon et une métropole animée.;672d0698004c7514fcd799af
Quelle chaîne de montagnes traverse l'Amérique du Sud?;[Alpes, Himalaya, Andes, Rocky Mountains];Andes;Les Andes sont la plus longue chaîne de montagnes du monde.;672d0698004c7514fcd799af
Quel est le fleuve le plus long d'Europe?;[Danube, Vistule, Rhin, Loire];Danube;Le Danube mesure environ 2 860 kilomètres de long.;672d0698004c7514fcd799af
Quel pays est connu pour ses fjords?;[Suède, Finlande, Norvège, Islande];Norvège;La Norvège est célèbre pour ses magnifiques fjords.;672d0698004c7514fcd799af
Quelle est la capitale de l'Argentine?;[Buenos Aires, Santiago, Lima, Bogotá];Buenos Aires;Buenos Aires est connue pour sa culture et sa danse tango.;672d0698004c7514fcd799af
Quel est le désert le plus grand du monde?;[Sahara, Gobi, Kalahari, Désert de l'Antarctique];Désert de l'Antarctique;Le désert de l'Antarctique est le plus vaste et le plus sec.;672d0698004c7514fcd799af
Quelle est la capitale de l'Australie?;[Sydney, Canberra, Melbourne, Brisbane];Canberra;Canberra a été choisie comme un compromis entre Sydney et Melbourne.;672d0698004c7514fcd799af
Quel est le point le plus bas de la Terre?;[Mer Morte, Caverne de Mammoth, Dépression de Mariana, Cratère de Chicxulub];Mer Morte;La Mer Morte est située à environ 430 mètres sous le niveau de la mer.;672d0698004c7514fcd799af
Qui a été le premier président de la France?;[Charles de Gaulle, Napoléon Bonaparte, Georges Pompidou, François Mitterrand];Napoléon Bonaparte;Napoléon a été le premier président en 1804.;672d0698004c7514fcd799b2
Quand a eu lieu la Révolution française?;[1789, 1792, 1776, 1804];1789;La Révolution française a commencé en juillet 1789.;672d0698004c7514fcd799b2
Qui a découvert l'Amérique?;[Christophe Colomb, Ferdinand Magellan, Vasco de Gama, Hernán Cortés];Christophe Colomb;Colomb a découvert l'Amérique en 1492.;672d0698004c7514fcd799b2
Qui était le roi de France pendant la Révolution?;[Louis XIV, Louis XVI, Louis XV, Charles X];Louis XVI;Louis XVI a été exécuté en 1793.;672d0698004c7514fcd799b2
Quelle guerre a opposé le Nord et le Sud des États-Unis?;[Guerre de Sécession, Première Guerre mondiale, Deuxième Guerre mondiale, Guerre froide];Guerre de Sécession;La Guerre de Sécession a eu lieu de 1861 à 1865.;672d0698004c7514fcd799b2
Quel mouvement a été fondé par Martin Luther King?;[Mouvement des droits civiques, Mouvement féministe, Mouvement abolitionniste, Mouvement écologiste];Mouvement des droits civiques;King a lutté pour l'égalité raciale aux États-Unis.;672d0698004c7514fcd799b2
Quel événement a déclenché la Première Guerre mondiale?;[L'assassinat de l'archiduc François-Ferdinand, La Révolution russe, L'invasion de la Pologne, Le traité de Versailles];L'assassinat de l'archiduc François-Ferdinand;Cet événement a eu lieu en 1914.;672d0698004c7514fcd799b2
"Qui a écrit "Le Contrat social"?;[Jean-Jacques Rousseau, Voltaire, Montesquieu, Diderot];Jean-Jacques Rousseau;Rousseau a écrit sur la politique et la société au XVIIIe siècle.;672d0698004c7514fcd799b2
Quand a été signé le traité de Versailles?;[1918, 1919, 1920, 1921];1919;Le traité de Versailles a mis fin à la Première Guerre mondiale.;672d0698004c7514fcd799b2
Qui était la première femme à obtenir le prix Nobel?;[Marie Curie, Rosalind Franklin, Ada Lovelace, Florence Nightingale];Marie Curie;Marie Curie a reçu le prix Nobel de physique en 1903.;672d0698004c7514fcd799b2
Quel est l'organe responsable de la respiration?;[Coeur, Poumons, Foie, Reins];Poumons;Les poumons permettent l'échange de gaz dans le corps.;672d0698004c7514fcd799b5
Quel est le symbole chimique du sodium?;[Na, S, N, So];Na;"Le sodium est représenté par le symbole "Na", dérivé du latin.;672d0698004c7514fcd799b5
Combien de planètes dans notre système solaire?;[8, 9, 7, 6];8;Il y a huit planètes dans notre système solaire.;672d0698004c7514fcd799b5
Quelle est la plus grande espèce de requin?;[Requin blanc, Requin baleine, Requin tigre, Requin marteau];Requin baleine;Le requin baleine peut mesurer jusqu'à 12 mètres de long.;672d0698004c7514fcd799b5
Quel est le principal gaz à effet de serre?;[Oxygène, Dioxyde de carbone, Méthane, Azote];Dioxyde de carbone;Le dioxyde de carbone est le principal responsable du réchauffement climatique.;672d0698004c7514fcd799b5
Quel est le processus par lequel les plantes fabriquent leur nourriture?;[Respiration, Photosynthèse, Fermentation, Digestion];Photosynthèse;Les plantes convertissent la lumière du soleil en énergie.;672d0698004c7514fcd799b5
Quel animal est connu pour sa mémoire exceptionnelle?;[Éléphant, Chien, Dauphin, Chat];Éléphant;Les éléphants sont connus pour leur mémoire remarquable.;672d0698004c7514fcd799b5
Quel est l'organe qui pompe le sang dans le corps?;[Foie, Cerveau, Coeur, Reins];Coeur;Le coeur est le moteur circulatoire du corps.;672d0698004c7514fcd799b5
Quel est l'élément le plus léger?;[Hydrogène, Hélium, Lithium, Carbone];Hydrogène;L'hydrogène est l'élément le plus léger et le plus abondant dans l'univers.;672d0698004c7514fcd799b5
Quelle est la fonction principale des racines des plantes?;[Absorption d'eau, Photosynthèse, Support, Reproduction];Absorption d'eau;Les racines absorbent l'eau et les nutriments du sol.;672d0698004c7514fcd799b8
"Qui a réalisé "Titanic"?;[James Cameron, Steven Spielberg, Martin Scorsese, Christopher Nolan];James Cameron;"James Cameron a réalisé "Titanic" en 1997.;672d0698004c7514fcd799b8
Quel film a remporté l'Oscar du meilleur film en 2020?;[Parasite, 1917, Joker, Once Upon a Time in Hollywood];Parasite;"Parasite" a été le premier film non anglophone à remporter cet Oscar.;672d0698004c7514fcd799b8
"Qui joue le rôle principal dans "Le Parrain"?;[Al Pacino, Robert De Niro, Marlon Brando, Jack Nicholson];Marlon Brando;Marlon Brando incarne Vito Corleone dans ce classique du cinéma.;672d0698004c7514fcd799b8
Quel est le nom de la série mettant en scène un groupe de survivants sur une île déserte?;[Lost, Survivor, The Walking Dead, Stranger Things];Lost;"Lost" a captivé le public avec ses mystères et ses personnages.;672d0698004c7514fcd799b8
"Quel acteur a joué le rôle de Jack Dawson dans "Titanic"?;[Leonardo DiCaprio, Brad Pitt, Matt Damon, Johnny Depp];Leonardo DiCaprio;DiCaprio a joué le rôle emblématique de Jack Dawson.;672d0698004c7514fcd799b8
Quel film d'animation a été produit par Pixar et met en scène des jouets?;[Toy Story, Monstres et Cie, Finding Nemo, Cars];Toy Story;"Toy Story" a été le premier film d'animation entièrement en 3D.;672d0698004c7514fcd799b8
Quelle série suit les aventures d'un groupe d'amis à New York?;[Friends, How I Met Your Mother, The Office, Seinfeld];Friends;"Friends" est une série emblématique des années 90.;672d0698004c7514fcd799b8
Quel film raconte l'672d0698004c7514fcd799b2 de la vie d'un célèbre boxeur nommé Rocky?;[Rocky, Raging Bull, Creed, The Fighter];Rocky;"Rocky" est un film culte qui a remporté l'Oscar du meilleur film.;672d0698004c7514fcd799b8
"Qui interprète le personnage de Walter White dans "Breaking Bad"?;[Bryan Cranston, Aaron Paul, Bob Odenkirk, Dean Norris];Bryan Cranston;Cranston a reçu des éloges pour son rôle dans cette série acclamée.;672d0698004c7514fcd799b8
Quel film de Tim Burton met en scène un personnage nommé Edward aux mains d'argent?;[Edward Scissorhands, Beetlejuice, The Nightmare Before Christmas, Sweeney Todd];Edward Scissorhands;"Edward aux mains d'argent" est l'un des films emblématiques de Tim Burton.;672d0698004c7514fcd799b8
